Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
1286.496,,,s,0.515228645,0.066483255,0.066483255,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
2075.328,,,s,0.356451133,0.048841452,0.048841452,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
2864.16,,,s,0.380189396,0.061035611,0.061035611,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
4027.968,,,s,0.272897778,0.03521375,0.03521375,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
9637.92,,,s,0.103752842,0.0190301,0.0190301,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
85325.184,,,s,0.028575905,0.002753304,0.002753304,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
181215.36,,,s,0.012705741,0.001329468,0.001329468,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset
468.288,,,s,1.258925412,0.100148056,0.100148056,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
560.736,,,s,1.306170888,0.103906454,0.103906454,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
653.184,,,s,1.282330583,0.123553227,0.123553227,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
718.848,,,s,0.972747224,0.207150617,0.207150617,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
762.912,,,s,1.258925412,0.258925412,0.258925412,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
812.16,,,s,3.981071706,0.316695959,0.316695959,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
849.312,,,s,2.355049284,0.226910238,0.226910238,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
887.328,,,s,1.887991349,0.197550417,0.197550417,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
924.48,,,s,1.706082389,0.233769887,0.233769887,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
962.496,,,s,1.445439771,0.163109188,0.163109188,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
2071.008,,,s,0.42854852,0.044841275,0.044841275,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
3328.992,,,s,0.34673685,0.047510387,0.047510387,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
8224.416,,,s,0.165958691,0.029185808,0.029185808,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
85325.184,,,s,0.033728731,0.003529214,0.003529214,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
85343.328,,,s,0.033728731,0.001813352,0.001813352,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
178958.592,,,s,0.01770109,0.000951661,0.000951661,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
181215.36,,,s,0.020137242,0.002436153,0.002436153,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
343570.464,,,s,0.009204496,0.00049486,0.00049486,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
949959.36,,,s,0.003435579,0.000214511,0.000214511,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
2333715.84,,,s,0.001737801,0.000181835,0.000181835,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
4498009.92,,,s,0.000801678,9.05E-05,9.05E-05,mJy,Spectral Flux,1.82E+14,,,Hz,H,H_offset
1087.776,,,s,1.247383514,0.160957891,0.160957891,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
1876.608,,,s,0.744731974,0.147696687,0.147696687,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
2665.44,,,s,0.539510623,0.122641239,0.122641239,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
3678.048,,,s,0.505824662,0.096564002,0.096564002,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
9284.544,,,s,0.169044093,0.049919892,0.049919892,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
85325.184,,,s,0.031045596,0.005222994,0.005222994,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
86418.144,,,s,0.040179081,0.001094992,0.001094992,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset
3826.069,,,s,1.71E-11,3.86E-12,3.86E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
3927.847,,,s,1.44E-11,3.28E-12,3.28E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
4028.385,,,s,3.40E-11,7.43E-12,7.43E-12,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,
